"Kernel","Module","Op","Direction","Sil(ns)","TC","FLOPs","Bytes","Device","Stream","Block","Grid"
"indexSelectLargeIndex","torch.nn.functional","embedding","fprop","5760","-","0","1125600","0","7","128,1,1","640,1,1"
"elementwise_kernel","Tensor","__mul__","fprop","3360","-","140000.0","1120000","0","7","512,1,1","274,1,1"
"indexSelectLargeIndex","torch.nn.functional","embedding","fprop","2784","-","0","56280","0","7","128,1,1","55,1,1"
"elementwise_kernel","Tensor","__add__","fprop","5120","-","143500.0","1148000","0","7","128,1,1","274,1,1"
"fused_dropout_kernel","torch.nn.functional","dropout","fprop","6144","-","700000","1120000","0","7","256,1,1","547,1,1"
"kernelPointwiseApply3","torch.nn.functional","multi_head_attention_forward","fprop","2720","-","0","0","0","7","512,1,1","274,1,1"
"kernelReduceAllPass1","torch.nn.functional","multi_head_attention_forward","fprop","4896","-","0","0","0","7","1024,1,1","137,1,1"
"kernelReduceAllPass2","torch.nn.functional","multi_head_attention_forward","fprop","4063","-","0","0","0","7","137,1,1","1,1,1"
"kernelPointwiseApply3","torch.nn.functional","multi_head_attention_forward","fprop","1856","-","0","0","0","7","512,1,1","274,1,1"
"kernelReduceAllPass1","torch.nn.functional","multi_head_attention_forward","fprop","3776","-","0","0","0","7","1024,1,1","137,1,1"
"kernelReduceAllPass2","torch.nn.functional","multi_head_attention_forward","fprop","2112","-","0","0","0","7","137,1,1","1,1,1"
"volta_sgemm_32x128_tn","torch.nn.functional","multi_head_attention_forward","fprop","27296","-","0","0","0","7","256,1,1","19,6,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","6272","-","0","0","0","7","128,1,1","821,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","9568","-","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","4992","-","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3136","-","0","0","0","7","128,1,1","274,1,1"
"volta_sgemm_128x64_tn","torch.nn.functional","multi_head_attention_forward","fprop","24512","-","0","0","0","7","128,1,1","1,1,40"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3232","-","0","0","0","7","128,1,1","96,1,1"
"softmax_warp_forward","torch.nn.functional","multi_head_attention_forward","fprop","5120","-","0","0","0","7","32,4,1","175,1,1"
"fused_dropout_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3424","-","0","0","0","7","256,1,1","192,1,1"
"volta_sgemm_128x64_nn","torch.nn.functional","multi_head_attention_forward","fprop","17439","-","0","0","0","7","128,1,1","1,1,40"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3968","-","0","0","0","7","128,1,1","274,1,1"
"volta_sgemm_64x32_sliced1x4_tn","torch.nn.functional","multi_head_attention_forward","fprop","21376","-","0","0","0","7","256,1,1","4,22,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3904","-","0","0","0","7","128,1,1","274,1,1"
"reduce_kernel","torch.nn.functional","multi_head_attention_forward","fprop","4672","-","0","0","0","7","256,2,1","48,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","2496","-","0","0","0","7","512,1,1","48,1,1"
"fused_dropout_kernel","torch.nn.functional","dropout","fprop","5920","-","700000","1120000","0","7","256,1,1","547,1,1"
"elementwise_kernel","Tensor","__add__","fprop","2656","-","210000.0","1680000","0","7","512,1,1","274,1,1"
"RowwiseMomentsCUDAKernel","torch.nn.functional","layer_norm","fprop","5536","-","0","0","0","7","512,1,1","700,1,1"
"LayerNormForwardCUDAKernel","torch.nn.functional","layer_norm","fprop","3712","-","0","0","0","7","256,1,1","700,1,1"
"volta_sgemm_64x32_sliced1x4_tn","torch.nn.functional","linear","fprop","19136","0","56000000","740000","0","7","256,1,1","4,22,1"
"elementwise_kernel","torch.nn.functional","bias","fprop","4288","-","140000","1120000","0","7","128,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","relu","fprop","2176","-","140000","1120000","0","7","512,1,1","274,1,1"
"fused_dropout_kernel","torch.nn.functional","dropout","fprop","5856","-","700000","1120000","0","7","256,1,1","547,1,1"
"volta_sgemm_64x32_sliced1x4_tn","torch.nn.functional","linear","fprop","19264","0","56000000","740000","0","7","256,1,1","4,22,1"
"elementwise_kernel","torch.nn.functional","bias","fprop","4000","-","140000","1120000","0","7","128,1,1","274,1,1"
"fused_dropout_kernel","torch.nn.functional","dropout","fprop","5888","-","700000","1120000","0","7","256,1,1","547,1,1"
"elementwise_kernel","Tensor","__add__","fprop","2208","-","210000.0","1680000","0","7","512,1,1","274,1,1"
"RowwiseMomentsCUDAKernel","torch.nn.functional","layer_norm","fprop","5248","-","0","0","0","7","512,1,1","700,1,1"
"LayerNormForwardCUDAKernel","torch.nn.functional","layer_norm","fprop","3328","-","0","0","0","7","256,1,1","700,1,1"
